symbol,price,avg_volume,adv_usd,meets_criteria
TSLA,448.01,94843350.72727273,38529774979.68408,True
NVDA,189.7,177816801.77272728,31485806040.462276,True
AAPL,257.415,58577257.31818182,14281156603.78409,True
ORCL,287.8111,36100502.95454545,10763335260.823214,True
AMZN,221.44,44900363.5,10210083798.12591,True
MSFT,514.14,19956059.454545453,10163126652.312273,True
AVGO,340.71,29300728.272727273,10028359303.574999,True
GOOGL,244.43,37478401.68181818,9105708463.824091,True
META,720.825,11398016.0,8596429391.447046,True
AMD,169.97,43094396.5,6848083937.104999,True
MU,183.92,28023230.0,4389569289.476818,True
UNH,351.1994,12557283.5,4275863110.5939727,True
INTC,36.775,130639884.04545455,4010571100.505,True
NFLX,1158.99,3037500.409090909,3684722580.500453,True
LLY,817.895,3703562.409090909,2806242133.6429543,True
JPM,307.16,8532585.772727273,2633523336.667727,True
CRM,237.0,10203348.0,2503820500.9490905,True
COST,915.73,2385022.6363636362,2251020805.6545453,True
V,344.2,6231273.2272727275,2128702156.2109091,True
SNPS,479.2,4644052.2272727275,2125096608.7568178,True
ADBE,347.25,5623410.318181818,1990391247.7177277,True
XOM,111.78,16267199.454545455,1838425028.6972725,True
BA,218.475,8036104.090909091,1761825327.298864,True
BAC,50.2701,33364681.318181816,1704237230.0165184,True
AMAT,221.945,8870943.636363637,1667101774.340682,True
WMT,101.04,15188098.0,1555111618.5659094,True
MA,572.3,2673357.8636363638,1551798041.5449998,True
HD,396.03,3663788.1818181816,1518789270.254091,True
JNJ,185.97,8490499.681818182,1516088035.3918185,True
CRWD,498.32,3119790.909090909,1455400550.3172724,True
LRCX,145.665,11583887.954545455,1415180677.9697728,True
PFE,26.875,56661771.81818182,1404755324.7045453,True
TXN,182.05,7338325.954545454,1343645971.040682,True
GS,775.415,1699230.2727272727,1329157529.4136364,True
C,97.04,13214644.863636363,1320987673.510909,True
ABBV,237.905,5787533.045454546,1287211606.9674997,True
GE,298.75,4254602.681818182,1239106802.7777274,True
CSCO,68.53,18168437.181818184,1229892146.245909,True
CAT,486.32,2679225.5,1216692188.1204545,True
QCOM,167.49,7270472.454545454,1197924151.5113637,True
NKE,75.08,16350437.090909092,1181883751.963182,True
KO,65.975,17523154.40909091,1174382006.9634092,True
CVX,154.65,7417915.818181818,1164656093.4336364,True
TMO,528.15,2345325.090909091,1135935323.3400002,True
WFC,80.33,13806760.636363637,1135816794.1631815,True
MRK,88.63,13671784.363636363,1134142810.3404543,True
BKNG,5326.63,205814.5909090909,1130099051.412727,True
PG,152.24,7147293.909090909,1114887349.757273,True
PANW,206.2,5428912.318181818,1091769173.5745454,True
UNP,233.75,4848641.681818182,1084799465.8363638,True
PEP,141.79,7179442.545454546,1022288011.9054543,True
DIS,111.735,8692758.0,998078723.2952274,True
FCX,38.71,24268059.90909091,975100502.3554547,True
NEM,83.59,12046261.090909092,975021212.7895454,True
HON,210.93,4529841.136363637,956152015.4900002,True
SCHW,92.54,10119168.454545455,946532098.8440909,True
PM,159.5,5622039.681818182,917007518.6586362,True
MCD,300.95,2984906.3636363638,912573000.8468182,True
DHR,211.475,4653655.545454546,906122043.6822727,True
AXP,328.4,2680014.3636363638,894689841.2718183,True
